ecosystem	slug	target	note
other	sindresorhus/awesome	https://github.com/sindresorhus/awesome.git	top-100, markdown only
other	torvalds/linux	https://github.com/torvalds/linux.git	top-100, kbuild, no package manifest
perl	houseabsolute/DateTime.pm	https://github.com/houseabsolute/DateTime.pm.git	cpanfile
perl	libwww-perl/libwww-perl	https://github.com/libwww-perl/libwww-perl.git	no lock
perl	metacpan/metacpan-web	https://github.com/metacpan/metacpan-web.git	cpanfile + snapshot
perl	mojolicious/mojo	https://github.com/mojolicious/mojo.git	cpanfile
perl	moose/Moose	https://github.com/moose/Moose.git	cpanfile
perl	openresty/lua-nginx-module	https://github.com/openresty/lua-nginx-module.git	mixed lua/perl tests
perl	perl5-dbi/dbi	https://github.com/perl5-dbi/dbi.git	no lockfile
perl	plack/Plack	https://github.com/plack/Plack.git	cpanfile
php	WordPress/WordPress	https://github.com/WordPress/WordPress.git	no composer.lock
php	bagisto/bagisto	https://github.com/bagisto/bagisto.git	laravel app
php	magento/magento2	https://github.com/magento/magento2.git	composer, enormous
php	pestphp/pest	https://github.com/pestphp/pest.git	composer.lock
php	thephpleague/flysystem	https://github.com/thephpleague/flysystem.git	composer monorepo
polyglot	PostHog/posthog	https://github.com/PostHog/posthog.git	python + ts
polyglot	airbytehq/airbyte	https://github.com/airbytehq/airbyte.git	java + python + ts
polyglot	apache/arrow	https://github.com/apache/arrow.git	many languages in one tree
polyglot	apache/druid	https://github.com/apache/druid.git	java + js
polyglot	backstage/backstage	https://github.com/backstage/backstage.git	ts monorepo, plugins
polyglot	elastic/kibana	https://github.com/elastic/kibana.git	ts monorepo, huge
polyglot	getsentry/sentry	https://github.com/getsentry/sentry.git	python + ts
polyglot	grpc/grpc-java	https://github.com/grpc/grpc-java.git	gradle
polyglot	hasura/graphql-engine	https://github.com/hasura/graphql-engine.git	haskell + ts
polyglot	microsoft/vscode	https://github.com/microsoft/vscode.git	ts + native, very large
polyglot	opensearch-project/OpenSearch	https://github.com/opensearch-project/OpenSearch.git	java + others
polyglot	pytorch/pytorch	https://github.com/pytorch/pytorch.git	cpp + python
polyglot	temporalio/temporal	https://github.com/temporalio/temporal.git	go + java
polyglot	tensorflow/tensorflow	https://github.com/tensorflow/tensorflow.git	cpp + python + bazel
python	AUTOMATIC1111/stable-diffusion-webui	https://github.com/AUTOMATIC1111/stable-diffusion-webui.git	top-100, requirements.txt
python	Comfy-Org/ComfyUI	https://github.com/Comfy-Org/ComfyUI.git	top-100, requirements.txt
python	Significant-Gravitas/AutoGPT	https://github.com/Significant-Gravitas/AutoGPT.git	top-100, poetry monorepo
python	Textualize/textual	https://github.com/Textualize/textual.git	poetry
python	TheAlgorithms/Python	https://github.com/TheAlgorithms/Python.git	top-100, requirements.txt
python	dbt-labs/dbt-core	https://github.com/dbt-labs/dbt-core.git	monorepo
python	fastapi/sqlmodel	https://github.com/fastapi/sqlmodel.git	poetry
python	github/spec-kit	https://github.com/github/spec-kit.git	top-100, pyproject
python	langchain-ai/langchain	https://github.com/langchain-ai/langchain.git	monorepo of poetry projects
python	langflow-ai/langflow	https://github.com/langflow-ai/langflow.git	top-100, uv/poetry
python	microsoft/markitdown	https://github.com/microsoft/markitdown.git	top-100, pyproject
python	open-webui/open-webui	https://github.com/open-webui/open-webui.git	top-100, python + svelte
python	openai/openai-python	https://github.com/openai/openai-python.git	pep621
python	pdm-project/pdm	https://github.com/pdm-project/pdm.git	pdm.lock
python	pola-rs/polars	https://github.com/pola-rs/polars.git	rust + python
python	ray-project/ray	https://github.com/ray-project/ray.git	python + cpp + java
python	scipy/scipy	https://github.com/scipy/scipy.git	meson, native deps
python	vllm-project/vllm	https://github.com/vllm-project/vllm.git	large, native
python	yt-dlp/yt-dlp	https://github.com/yt-dlp/yt-dlp.git	top-100, pyproject
python	ytdl-org/youtube-dl	https://github.com/ytdl-org/youtube-dl.git	top-100, setup.py
r	r-lib/devtools	https://github.com/r-lib/devtools.git	DESCRIPTION
r	r-lib/httr2	https://github.com/r-lib/httr2.git	DESCRIPTION
r	r-lib/testthat	https://github.com/r-lib/testthat.git	DESCRIPTION
r	rstudio/renv	https://github.com/rstudio/renv.git	renv.lock, the R lockfile
r	rstudio/shiny	https://github.com/rstudio/shiny.git	DESCRIPTION + renv
r	tidyverse/dplyr	https://github.com/tidyverse/dplyr.git	DESCRIPTION
r	tidyverse/ggplot2	https://github.com/tidyverse/ggplot2.git	DESCRIPTION
r	tidyverse/tidyr	https://github.com/tidyverse/tidyr.git	DESCRIPTION
ruby	chatwoot/chatwoot	https://github.com/chatwoot/chatwoot.git	rails + vue
ruby	gitlabhq/gitlabhq	https://github.com/gitlabhq/gitlabhq.git	very large polyglot
ruby	ruby/ruby	https://github.com/ruby/ruby.git	the interpreter
ruby	solidusio/solidus	https://github.com/solidusio/solidus.git	monorepo gems
rust	meilisearch/meilisearch	https://github.com/meilisearch/meilisearch.git	workspace
rust	rust-lang/cargo	https://github.com/rust-lang/cargo.git	Cargo.lock
rust	rust-lang/rust-analyzer	https://github.com/rust-lang/rust-analyzer.git	workspace, large
rust	seanmonstar/reqwest	https://github.com/seanmonstar/reqwest.git	Cargo.lock
rust	surrealdb/surrealdb	https://github.com/surrealdb/surrealdb.git	workspace
rust	vectordotdev/vector	https://github.com/vectordotdev/vector.git	large workspace
rust	zed-industries/zed	https://github.com/zed-industries/zed.git	very large workspace
scala	apache/pekko	https://github.com/apache/pekko.git	sbt
scala	http4s/http4s	https://github.com/http4s/http4s.git	sbt
scala	scala/scala3	https://github.com/scala/scala3.git	sbt, compiler
scala	typelevel/fs2	https://github.com/typelevel/fs2.git	sbt
swift	Moya/Moya	https://github.com/Moya/Moya.git	SwiftPM + Podfile
swift	SDWebImage/SDWebImage	https://github.com/SDWebImage/SDWebImage.git	CocoaPods and SwiftPM
swift	airbnb/lottie-ios	https://github.com/airbnb/lottie-ios.git	SwiftPM + Podfile
swift	groue/GRDB.swift	https://github.com/groue/GRDB.swift.git	SwiftPM
swift	kean/Nuke	https://github.com/kean/Nuke.git	SwiftPM
swift	swiftlang/swift-package-manager	https://github.com/swiftlang/swift-package-manager.git	SwiftPM itself
terraform	gruntwork-io/terragrunt	https://github.com/gruntwork-io/terragrunt.git	go + terraform
terraform	hashicorp/terraform-provider-aws	https://github.com/hashicorp/terraform-provider-aws.git	go provider, huge
terraform	hashicorp/terraform-provider-azurerm	https://github.com/hashicorp/terraform-provider-azurerm.git	go provider
terraform	kubernetes-sigs/cluster-api	https://github.com/kubernetes-sigs/cluster-api.git	go, manifests
zig	ghostty-org/ghostty	https://github.com/ghostty-org/ghostty.git	build.zig.zon, terminal
zig	hexops/mach	https://github.com/hexops/mach.git	build.zig.zon, game engine
zig	karlseguin/http.zig	https://github.com/karlseguin/http.zig.git	build.zig.zon
zig	kristoff-it/zine	https://github.com/kristoff-it/zine.git	build.zig.zon
zig	natecraddock/ziglua	https://github.com/natecraddock/ziglua.git	build.zig.zon
zig	oven-sh/bun	https://github.com/oven-sh/bun.git	build.zig.zon + package.json
zig	tigerbeetle/tigerbeetle	https://github.com/tigerbeetle/tigerbeetle.git	build.zig.zon
zig	zigtools/zls	https://github.com/zigtools/zls.git	build.zig.zon
zig	zigzap/zap	https://github.com/zigzap/zap.git	build.zig.zon, http
